[29/03/2015 - 19:50:38] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Whanky_Starkey para +5 minutos, Motivo: DM festa
[29/03/2015 - 19:50:47] - AdmCmd: O admin Johny_Staff prendeu Fly_ShiFt por 0 minutos, Motivo: Ajuste
[29/03/2015 - 20:05:46] - AdmCmd: O admin Johny_Staff ajustou a cadeia de OBeY_Starkey para +10 minutos, Motivo: DM PREF Area neutra
[29/03/2015 - 22:36:46] - AdmCmd: O admin Johny_Staff ajustou a cadeia de BaDBoYI_ShifT para +10 minutos, Motivo: Matando membro da org sem ser x1
[29/03/2015 - 22:37:15] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Luc_VQV para +10 minutos, Motivo: DM
[29/03/2015 - 22:37:21] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Biel_VQV para +10 minutos, Motivo: DM
[29/03/2015 - 22:39:10] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Luc_VQV para +0 minutos, Motivo: Ajuste
[29/03/2015 - 22:39:13] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Biel_VQV para +0 minutos, Motivo: Ajuste
[29/03/2015 - 22:39:23] - AdmCmd: O admin Johny_Staff prendeu Biel_VQV por 0 minutos, Motivo: Ajuste
[29/03/2015 - 22:39:27] - AdmCmd: O admin Johny_Staff prendeu Luc_VQV por 0 minutos, Motivo: Ajuste
[29/03/2015 - 22:40:31] - AdmCmd: O admin Johny_Staff prendeu BaDBoYI_ShifT por 0 minutos, Motivo: ajuste
[29/03/2015 - 22:57:07] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Mano_CerT para +10 minutos, Motivo: AN indev
[29/03/2015 - 23:06:04] - AdmCmd: O admin Saymon_Felipe ajustou a cadeia de Biel_VQV para +10 minutos, Motivo: dm evento
[29/03/2015 - 23:35:00] - AdmCmd: O admin Saymon_Felipe prendeu OBeY_Starkey por 0 minutos, Motivo: Jogue amigo
[29/03/2015 - 23:35:13] - AdmCmd: O admin Saymon_Felipe prendeu Kratoslife_ShiFt por 0 minutos, Motivo: Jogue amigo.
[30/03/2015 - 00:02:49] - AdmCmd: O admin Saymon_Felipe prendeu OBeY_Starkey por 0 minutos, Motivo: .
[30/03/2015 - 00:04:12] - AdmCmd: O admin Saymon_Felipe prendeu Cidadao_DeBem por 0 minutos, Motivo: .
[30/03/2015 - 00:56:56] - AdmCmd: O admin Leo_Swift ajustou a cadeia de Baby_Face para +0 minutos, Motivo: ajuste
[30/03/2015 - 00:57:53] - AdmCmd: O admin Leo_Swift ajustou a cadeia de Baby_Face para -99 minutos, Motivo: ajuste
[30/03/2015 - 14:17:14] - AdmCmd: O admin Ramirez_Ferraz ajustou a cadeia de DoMiNic_ShiFt para +10 minutos, Motivo: DM
[30/03/2015 - 14:39:00] - AdmCmd: O admin Deagle_Vilhena ajustou a cadeia de Ramirez_Ferraz para +1000 minutos, Motivo: Difamação ao próximo
[30/03/2015 - 14:40:28] - AdmCmd: O admin Deagle_Vilhena ajustou a cadeia de Ramirez_Ferraz para +0 minutos, Motivo: Ajuste[Biba] ;y
[30/03/2015 - 18:09:24] - AdmCmd: O admin Johny_Staff prendeu Mr_Land por 0 minutos, Motivo: Ajuste
[30/03/2015 - 18:16:40] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Emerson_Blood para +10 minutos, Motivo: DM
[30/03/2015 - 18:18:03] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Cpt_JhonatanPM para +10 minutos, Motivo: DM
[30/03/2015 - 18:19:37] - AdmCmd: O admin Johny_Staff prendeu Cpt_JhonatanPM por 0 minutos, Motivo: Ajuste
[30/03/2015 - 18:38:08] - AdmCmd: O admin iArky_ShiFt ajustou a cadeia de Cpt_JhonatanPM para +5 minutos, Motivo: Invadindo Tr/Hq Sem /Gov
[30/03/2015 - 19:02:14] - AdmCmd: O admin Johny_Staff prendeu Gabriel_Revenge por 0 minutos, Motivo: EVENTO
[30/03/2015 - 19:16:37] - AdmCmd: O admin Leo_Swift ajustou a cadeia de Cidadao_DeBem para -99 minutos, Motivo: Preso por causa do evento
[30/03/2015 - 19:33:36] - AdmCmd: O admin rodrigorkn_nunes ajustou a cadeia de DoMiNic_ShiFt para +5 minutos, Motivo: an indevido
[30/03/2015 - 19:34:13] - AdmCmd: O admin rodrigorkn_nunes ajustou a cadeia de pH_ShiFt para +5 minutos, Motivo: An ind
[30/03/2015 - 23:40:52] - AdmCmd: O admin Saymon_Felipe prendeu Cidadao_DeBem por 0 minutos, Motivo: Vai jogar filho
